ID,IssueDate,AnnualIncome,MonthlyIncome,LoanAmount,Term,InterestRate,EmploymentLength,HomeOwnership,LoanPurpose,DebtToIncome,OpenCreditLines,RevolUtilization,HighIncome_LowDTI,InterestImpact,LoanStatus
849,2015-01-01 18:06:37,43624,3635.33,8257.920191579595,60,19.42,13,rent,other,29.13,10,79.73,0,3.676075876687123,0
378,2015-01-03 16:53:17,97575,8131.25,14820.09098470216,60,12.51,20,mortgage,major_purchase,3.76,8,99.8,1,1.9000506089471183,0
889,2015-01-06 21:33:10,66271,5522.58,12601.890791413485,60,16.99,11,rent,car,3.32,17,68.52,0,3.230717717076821,1
141,2015-01-17 08:36:27,95450,7954.17,1387.4460550763943,60,8.04,8,own,vacation,16.53,1,22.31,1,0.11686693992534608,1
915,2015-01-18 13:17:40,43275,3606.25,1688.4852969266617,60,28.58,4,rent,car,0.0,3,11.24,0,1.1150963533174043,0
939,2015-01-18 17:12:12,24324,2027.0,1000.0,60,16.11,15,own,wedding,11.74,13,34.89,0,0.6622816032887975,1
890,2015-01-19 13:04:03,93688,7807.33,26625.48362600847,36,25.81,0,other,credit_card,12.78,3,98.19,1,7.334945750165746,1
126,2015-01-19 22:49:06,110982,9248.5,4768.0,60,19.56,10,mortgage,credit_card,10.92,19,91.16,1,0.8403276177432578,1
404,2015-01-25 14:25:42,183165,15263.75,25363.787856304385,36,8.57,17,mortgage,home_improvement,28.96,12,14.79,0,1.1867249485632083,1
937,2015-01-25 17:13:41,164118,13676.5,18933.0,36,24.24,12,rent,vacation,0.0,7,55.96,1,2.7963606894996924,1
587,2015-01-26 12:35:49,122634,10219.5,22835.749261614284,36,11.79,13,rent,home_improvement,12.99,5,74.56,1,2.1954049316625137,1
688,2015-01-28 15:51:45,98752,8229.33,18240.00484232605,36,18.86,11,other,medical,0.82,10,67.31,1,3.4835042107710072,0
512,2015-01-30 06:33:15,102745,8562.08,23463.394912227253,36,18.13,2,own,small_business,1.13,13,32.88,1,4.140222974701498,1
149,2015-01-30 07:23:50,129556,10796.33,25672.871025727793,36,19.51,5,own,other,7.48,2,33.57,1,3.866079900830903,1
793,2015-02-02 14:37:02,114456,9538.0,9682.0,36,16.84,7,own,debt_consolidation,26.39,9,54.16,0,1.4245077190560647,0
366,2015-02-03 03:58:50,125864,10488.67,21340.511592623134,36,5.01,18,rent,medical,3.78,2,99.6,1,0.8494495139954863,1
451,2015-02-07 13:04:59,63919,5326.58,1000.0,36,11.36,9,mortgage,home_improvement,1.83,15,29.69,0,0.17772215269086358,1
584,2015-02-07 17:56:05,174786,14565.5,30683.749005960886,60,8.71,17,mortgage,home_improvement,3.76,10,50.54,1,1.5290350760749905,1
623,2015-02-14 18:01:31,143961,11996.75,14219.329860330552,36,5.0,14,mortgage,credit_card,15.52,4,99.98,1,0.4938570546508993,1
445,2015-02-16 03:37:02,29435,2452.92,1000.0,36,6.46,16,rent,small_business,6.95,10,73.5,0,0.21945916564750645,1
760,2015-02-21 08:15:34,81877,6823.08,15300.440064226044,36,5.0,8,own,wedding,12.64,11,23.75,1,0.934343783691959,1
1000,2015-02-23 15:31:13,32219,2684.92,1000.0,36,24.75,18,rent,home_improvement,0.0,14,74.75,0,0.7681564245810056,1
879,2015-02-27 00:47:33,102838,8569.83,22188.490035972594,60,18.87,15,mortgage,vacation,30.8,8,28.82,0,4.071381547650239,1
924,2015-02-27 03:44:51,132581,11048.42,17891.472458097694,36,7.13,19,rent,other,20.21,8,38.87,0,0.9621683081129908,1
607,2015-03-01 19:58:21,191334,15944.5,50000.0,36,5.0,1,mortgage,major_purchase,22.24,8,88.24,0,1.3066088274492382,0
489,2015-03-07 08:25:19,89449,7454.08,21539.46818476338,60,9.56,18,own,small_business,26.25,13,5.54,0,2.30203818721451,0
234,2015-03-10 00:04:05,91295,7607.92,2596.343119679206,60,21.0,6,own,car,4.34,19,20.38,1,0.5972135199051802,1
3,2015-03-10 04:35:09,151932,12661.0,38782.55476209811,60,12.42,13,rent,vacation,4.33,1,68.1,1,3.170340414164523,0
700,2015-03-19 08:46:59,76178,6348.17,14882.302171511552,60,18.53,8,mortgage,small_business,24.63,1,94.09,0,3.6200141671341064,1
994,2015-03-20 11:23:51,117829,9819.08,8040.222383841649,36,14.02,18,rent,car,18.16,1,67.65,1,0.9566656863401504,1
787,2015-03-22 08:26:02,26949,2245.75,1000.0,36,7.46,12,rent,credit_card,10.48,2,95.5,0,0.2768089053803339,0
573,2015-03-22 18:48:56,47192,3932.67,11860.741643865495,36,11.8,5,own,home_improvement,14.12,18,74.04,0,2.9656252282671764,0
963,2015-03-24 10:37:36,111922,9326.83,27641.56081797524,60,15.39,7,rent,other,0.0,16,32.61,1,3.8008597070185663,1
214,2015-03-24 17:45:03,130078,10839.83,26563.29774441809,36,19.01,14,rent,home_improvement,27.64,18,4.62,0,3.882012393402378,1
90,2015-03-28 10:24:30,22568,1880.67,5035.6653435773715,36,6.35,3,own,medical,9.53,19,51.28,0,1.416831713045164,1
28,2015-03-31 10:13:29,142537,11878.08,20462.59647094628,36,24.94,7,mortgage,debt_consolidation,0.0,11,74.95,1,3.5803586130393312,1
228,2015-04-01 10:52:37,144249,12020.75,5187.022208236548,60,5.0,19,rent,car,0.0,12,34.43,1,0.179792797512532,1
97,2015-04-02 20:29:14,184231,15352.58,37207.7556924621,60,21.26,5,mortgage,debt_consolidation,0.58,4,66.04,1,4.29369971569404,1
962,2015-04-02 20:45:15,84323,7026.92,7957.0,60,9.28,11,mortgage,medical,13.9,10,11.55,1,0.87568141928751,1
526,2015-04-03 09:22:09,67295,5607.92,9573.864068922212,60,5.0,2,rent,credit_card,11.32,16,58.34,0,0.711324898130811,1
233,2015-04-05 04:50:23,104896,8741.33,17164.33653392931,36,23.83,17,own,credit_card,17.66,5,78.17,1,3.899312083315399,0
430,2015-04-10 16:51:31,25237,2103.08,1991.1018862580183,36,24.96,15,rent,medical,31.55,8,81.92,0,1.9691696283778486,1
806,2015-04-11 18:37:49,93477,7789.75,8570.45193135119,36,17.51,2,rent,other,6.79,14,71.81,1,1.6053896458841583,1
801,2015-04-13 08:55:05,75479,6289.92,8534.600143495361,60,7.23,4,own,small_business,30.75,4,61.55,0,0.8175034318689913,1
511,2015-04-15 07:47:58,23267,1938.92,1000.0,60,28.58,16,rent,car,0.0,16,67.24,0,1.2282963727007048,1
68,2015-04-27 18:11:52,196830,16402.5,17538.48240747619,36,5.66,1,rent,vacation,20.7,19,12.49,0,0.5043301635733967,0
93,2015-04-30 05:33:18,144375,12031.25,32698.83532917566,60,5.35,19,own,debt_consolidation,0.22,12,60.23,1,1.211688708726449,1
155,2015-05-02 05:51:14,172906,14408.83,13350.30808457561,36,21.59,10,own,wedding,7.57,18,45.24,1,1.6669837053791194,0
102,2015-05-02 09:25:49,58660,4888.33,12218.029899771227,60,7.02,10,mortgage,credit_card,6.82,12,29.99,0,1.4621395798979562,1
782,2015-05-02 16:00:05,73682,6140.17,4468.149661399192,60,17.5,10,rent,vacation,0.21,7,1.01,0,1.0612029786312427,0
921,2015-05-06 15:28:36,95703,7975.25,20979.526195533257,36,10.29,13,mortgage,medical,0.0,10,6.58,1,2.2556980330188625,1
157,2015-05-07 23:41:40,46105,3842.08,1886.0703061092008,36,15.46,18,rent,other,0.0,7,84.0,0,0.6324262987994674,1
272,2015-05-08 14:31:03,180371,15030.92,26431.57693657012,36,5.71,13,mortgage,debt_consolidation,18.9,11,62.68,1,0.8367390964662774,1
92,2015-05-10 00:04:01,153767,12813.92,21162.0,36,21.0,4,mortgage,car,0.87,16,32.86,1,2.890081161229905,0
872,2015-05-11 18:08:11,167820,13985.0,24355.566478032044,36,23.84,3,own,other,0.0,3,25.24,1,3.4598572576512114,1
190,2015-05-12 04:17:55,113264,9438.67,13714.605202097217,60,22.68,14,rent,vacation,16.47,5,57.34,1,2.746190314603495,0
419,2015-05-14 04:55:17,28308,2359.0,1000.0,36,20.41,4,own,home_improvement,29.13,12,59.94,0,0.7209721290049101,1
287,2015-05-17 08:14:37,70108,5842.33,2702.749169719923,36,11.87,17,mortgage,vacation,0.0,13,68.98,0,0.45759649466652613,1
